Land_Area_acres,Temperature_C,Humidity_pct,Rainfall_mm,WindSpeed_kmph,Soil_Type,Crop_Type,Crop_Stage,Season,Water_Required_Litres
6.57,34.8,38.8,7.4,22.2,Sandy,Cotton,Harvest,Summer,220.0
0.8,36.8,53.5,14.3,0.8,Loamy,Cotton,Harvest,Summer,10.4
2.59,28.2,94.8,20.3,12.7,Silty,Wheat,Growth,Monsoon,23.4
9.59,22.1,61.7,9.7,10.8,Silty,Cotton,Flowering,Winter,327.4
8.17,27.5,67.0,22.9,8.8,Silty,Cotton,Growth,Monsoon,213.6
7.19,34.0,36.3,0.0,29.6,Loamy,Rice,Harvest,Summer,271.4
3.14,31.5,57.3,12.7,21.1,Sandy,Cotton,Growth,Monsoon,127.0
5.57,40.9,57.6,11.7,29.7,Loamy,Maize,Seedling,Summer,177.1
2.68,36.7,35.7,21.2,17.0,Silty,Wheat,Harvest,Summer,44.0
4.26,34.5,53.6,21.6,7.4,Silty,Cotton,Harvest,Monsoon,76.5
9.03,15.0,89.4,11.0,22.7,Sandy,Wheat,Growth,Winter,281.7
8.02,29.5,37.8,0.5,17.9,Clay,Cotton,Flowering,Winter,263.4
9.73,34.0,43.3,15.0,23.1,Silty,Rice,Flowering,Summer,520.3
4.63,19.5,74.0,5.3,21.6,Loamy,Cotton,Seedling,Winter,106.2
8.77,28.2,35.0,7.4,4.8,Sandy,Cotton,Flowering,Winter,465.6
5.14,39.6,77.8,0.0,24.9,Silty,Wheat,Seedling,Summer,125.8
2.79,32.0,62.9,17.0,22.8,Loamy,Wheat,Harvest,Monsoon,44.3
9.5,35.2,47.1,21.2,12.7,Loamy,Cotton,Growth,Summer,312.2
7.27,32.2,49.3,0.0,3.6,Loamy,Rice,Flowering,Winter,444.0
0.7,32.3,66.3,25.6,2.1,Sandy,Wheat,Seedling,Monsoon,5.0
9.1,28.3,54.8,2.3,4.0,Clay,Wheat,Harvest,Winter,139.4
8.17,32.0,68.3,11.6,10.6,Clay,Sugarcane,Seedling,Summer,282.8
6.9,34.1,73.8,11.5,7.5,Loamy,Cotton,Harvest,Monsoon,156.3
1.83,43.4,48.0,11.0,27.7,Clay,Cotton,Seedling,Summer,51.4
0.98,36.8,31.1,33.9,5.0,Clay,Sugarcane,Growth,Monsoon,16.1
8.71,30.7,50.5,5.5,11.7,Clay,Maize,Harvest,Summer,170.0
7.12,36.4,64.5,19.1,8.9,Sandy,Cotton,Seedling,Monsoon,235.3
7.61,32.2,66.2,7.8,27.6,Loamy,Rice,Seedling,Summer,302.5
8.59,28.8,37.4,5.4,26.7,Loamy,Cotton,Seedling,Summer,245.5
6.38,27.5,39.4,0.0,9.5,Silty,Wheat,Flowering,Winter,211.0
2.77,29.9,65.8,0.0,28.1,Sandy,Sugarcane,Seedling,Winter,180.7
1.2,38.1,42.0,4.8,10.5,Sandy,Wheat,Flowering,Summer,81.1
3.21,28.9,29.8,0.0,19.6,Sandy,Cotton,Flowering,Winter,199.7
9.35,25.5,57.5,3.4,3.5,Sandy,Cotton,Growth,Summer,404.1
3.09,31.1,78.3,14.0,15.2,Silty,Rice,Seedling,Monsoon,92.0
6.53,16.0,63.0,7.0,3.9,Silty,Wheat,Harvest,Winter,95.8
5.74,22.7,47.3,16.5,4.5,Sandy,Maize,Growth,Winter,226.6
4.58,32.4,38.5,21.0,23.9,Sandy,Maize,Growth,Summer,201.9
6.98,36.9,80.7,26.1,18.6,Loamy,Wheat,Growth,Monsoon,173.2
9.77,31.6,52.5,3.8,22.1,Silty,Sugarcane,Growth,Summer,533.3
3.03,37.9,84.1,23.6,24.5,Clay,Maize,Flowering,Monsoon,77.0
8.3,32.2,53.7,16.6,12.0,Silty,Rice,Flowering,Summer,425.6
3.84,18.6,89.9,1.6,3.5,Silty,Wheat,Flowering,Monsoon,81.3
0.86,27.3,42.8,25.2,9.4,Sandy,Sugarcane,Growth,Monsoon,10.9
2.92,24.4,72.1,24.2,28.2,Loamy,Maize,Harvest,Monsoon,42.0
1.16,22.9,83.4,14.7,19.9,Sandy,Maize,Flowering,Monsoon,5.0
6.84,21.6,57.2,10.8,28.2,Loamy,Cotton,Flowering,Winter,257.3
4.36,38.7,46.6,10.2,23.6,Silty,Sugarcane,Harvest,Summer,172.5
4.7,26.1,48.1,17.6,19.8,Silty,Cotton,Flowering,Summer,146.5
1.39,33.0,45.0,0.0,6.0,Sandy,Rice,Growth,Summer,104.7
9.85,31.1,60.3,10.3,5.8,Clay,Sugarcane,Harvest,Monsoon,301.1
2.82,33.6,52.9,4.4,25.8,Sandy,Sugarcane,Growth,Monsoon,234.3
2.17,28.4,64.5,20.1,13.7,Clay,Cotton,Flowering,Monsoon,33.9
9.53,34.7,31.8,0.0,15.1,Clay,Wheat,Harvest,Winter,162.8
4.78,37.2,39.8,6.6,7.2,Clay,Rice,Flowering,Summer,224.3
2.73,19.3,42.1,14.0,4.2,Loamy,Sugarcane,Growth,Winter,122.5
7.21,31.1,56.9,2.2,25.0,Clay,Cotton,Seedling,Summer,156.2
8.64,30.4,63.8,20.6,10.6,Clay,Sugarcane,Growth,Monsoon,361.4
5.14,23.9,51.4,0.0,12.1,Loamy,Sugarcane,Growth,Winter,301.7
9.82,36.5,79.8,21.4,16.9,Sandy,Rice,Harvest,Monsoon,420.4
1.79,26.6,60.6,0.9,10.1,Clay,Maize,Harvest,Winter,31.2
2.9,39.9,25.5,7.5,1.6,Silty,Wheat,Seedling,Summer,74.8
7.92,31.2,65.9,20.3,18.6,Loamy,Wheat,Harvest,Monsoon,144.5
6.86,39.6,80.9,17.1,7.7,Silty,Wheat,Seedling,Monsoon,133.7
7.89,37.3,48.4,11.8,20.3,Clay,Sugarcane,Growth,Summer,358.2
1.22,30.7,70.4,14.8,20.9,Silty,Cotton,Seedling,Monsoon,14.2
8.06,30.9,51.4,13.1,15.2,Silty,Rice,Harvest,Monsoon,244.6
8.31,37.1,37.0,8.1,26.7,Clay,Wheat,Harvest,Summer,140.4
2.17,33.9,62.4,23.6,14.5,Clay,Cotton,Flowering,Monsoon,39.2
3.56,29.2,53.1,2.0,26.4,Loamy,Sugarcane,Harvest,Summer,154.3
3.7,26.9,42.3,8.4,10.2,Silty,Cotton,Seedling,Winter,83.8
5.41,43.7,70.6,11.5,14.7,Loamy,Sugarcane,Harvest,Summer,231.3
4.76,38.0,55.9,2.6,17.4,Clay,Cotton,Flowering,Summer,165.8
4.54,26.0,51.7,17.7,13.6,Silty,Maize,Growth,Monsoon,122.9
1.65,31.7,72.7,16.7,5.7,Clay,Maize,Flowering,Summer,26.1
9.81,32.7,45.9,12.3,9.1,Loamy,Maize,Seedling,Summer,285.9
9.76,26.9,99.8,11.3,3.1,Sandy,Cotton,Flowering,Monsoon,462.8
4.96,18.6,29.0,22.5,7.6,Clay,Rice,Seedling,Winter,118.1
4.31,28.3,39.4,13.5,28.5,Sandy,Wheat,Seedling,Summer,124.9
5.8,32.4,29.2,0.0,6.8,Clay,Sugarcane,Harvest,Winter,191.4
3.32,34.3,64.2,12.0,22.2,Loamy,Wheat,Flowering,Monsoon,110.4
6.77,30.3,51.2,15.1,4.7,Clay,Sugarcane,Harvest,Summer,200.3
3.27,34.0,61.9,7.0,7.0,Silty,Cotton,Growth,Summer,97.7
4.54,28.5,66.3,24.5,8.0,Loamy,Rice,Seedling,Monsoon,141.9
2.08,17.3,34.3,12.6,14.1,Silty,Sugarcane,Flowering,Winter,97.3
5.25,22.4,31.3,9.1,26.7,Silty,Cotton,Flowering,Winter,186.8
0.75,44.2,43.2,0.0,30.0,Silty,Cotton,Seedling,Summer,52.1
7.75,29.4,28.6,7.1,27.5,Loamy,Cotton,Harvest,Summer,195.7
6.53,30.5,46.7,0.0,3.1,Loamy,Maize,Harvest,Winter,174.1
7.09,27.4,42.1,0.0,22.8,Sandy,Sugarcane,Seedling,Winter,452.2
3.49,31.4,67.2,14.9,0.0,Clay,Sugarcane,Seedling,Winter,107.1
2.28,18.0,37.4,0.0,13.3,Sandy,Wheat,Flowering,Winter,87.5
5.72,17.8,58.8,20.6,18.3,Loamy,Wheat,Flowering,Winter,138.9
5.73,39.3,56.0,23.1,25.2,Sandy,Sugarcane,Seedling,Monsoon,344.3
