Land_Area_acres,Temperature_C,Humidity_pct,Rainfall_mm,WindSpeed_kmph,Soil_Type,Crop_Type,Crop_Stage,Season,Water_Required_Litres
6.57,34.8,38.8,7.4,22.2,Sandy,Cotton,Harvest,Summer,169519.9
0.8,36.8,53.5,14.3,0.8,Loamy,Cotton,Harvest,Summer,15022.0
2.59,28.2,94.8,20.3,12.7,Silty,Wheat,Growth,Monsoon,45111.9
9.59,22.1,61.7,9.7,10.8,Silty,Cotton,Flowering,Winter,249593.6
8.17,27.5,67.0,22.9,8.8,Silty,Cotton,Growth,Monsoon,190236.7
7.19,34.0,36.3,0.0,29.6,Loamy,Rice,Harvest,Summer,196023.6
3.14,31.5,57.3,12.7,21.1,Sandy,Cotton,Growth,Monsoon,88513.1
5.57,40.9,57.6,11.7,29.7,Loamy,Maize,Seedling,Summer,140489.5
2.68,36.7,35.7,21.2,17.0,Silty,Wheat,Harvest,Summer,53464.6
4.26,34.5,53.6,21.6,7.4,Silty,Cotton,Harvest,Monsoon,87234.1
9.03,15.0,89.4,11.0,22.7,Sandy,Wheat,Growth,Winter,225903.7
8.02,29.5,37.8,0.5,17.9,Clay,Cotton,Flowering,Winter,205165.6
9.73,34.0,43.3,15.0,23.1,Silty,Rice,Flowering,Summer,317745.5
4.63,19.5,74.0,5.3,21.6,Loamy,Cotton,Seedling,Winter,102716.8
8.77,28.2,35.0,7.4,4.8,Sandy,Cotton,Flowering,Winter,285241.5
5.14,39.6,77.8,0.0,24.9,Silty,Wheat,Seedling,Summer,116740.8
2.79,32.0,62.9,17.0,22.8,Loamy,Wheat,Harvest,Monsoon,55142.6
9.5,35.2,47.1,21.2,12.7,Loamy,Cotton,Growth,Summer,243092.6
7.27,32.2,49.3,0.0,3.6,Loamy,Rice,Flowering,Winter,256355.3
0.7,32.3,66.3,25.6,2.1,Sandy,Wheat,Seedling,Monsoon,11738.3
9.1,28.3,54.8,2.3,4.0,Clay,Wheat,Harvest,Winter,178110.1
8.17,32.0,68.3,11.6,10.6,Clay,Sugarcane,Seedling,Summer,213966.0
6.9,34.1,73.8,11.5,7.5,Loamy,Cotton,Harvest,Monsoon,152402.1
1.83,43.4,48.0,11.0,27.7,Clay,Cotton,Seedling,Summer,43830.4
0.98,36.8,31.1,33.9,5.0,Clay,Sugarcane,Growth,Monsoon,19554.1
8.71,30.7,50.5,5.5,11.7,Clay,Maize,Harvest,Summer,183018.5
7.12,36.4,64.5,19.1,8.9,Sandy,Cotton,Seedling,Monsoon,182642.2
7.61,32.2,66.2,7.8,27.6,Loamy,Rice,Seedling,Summer,212702.3
8.59,28.8,37.4,5.4,26.7,Loamy,Cotton,Seedling,Summer,207189.7
6.38,27.5,39.4,0.0,9.5,Silty,Wheat,Flowering,Winter,163713.0
2.77,29.9,65.8,0.0,28.1,Sandy,Sugarcane,Seedling,Winter,101629.0
1.2,38.1,42.0,4.8,10.5,Sandy,Wheat,Flowering,Summer,44993.5
3.21,28.9,29.8,0.0,19.6,Sandy,Cotton,Flowering,Winter,114444.9
9.35,25.5,57.5,3.4,3.5,Sandy,Cotton,Growth,Summer,272458.0
3.09,31.1,78.3,14.0,15.2,Silty,Rice,Seedling,Monsoon,75795.3
6.53,16.0,63.0,7.0,3.9,Silty,Wheat,Harvest,Winter,126357.8
5.74,22.7,47.3,16.5,4.5,Sandy,Maize,Growth,Winter,159897.8
4.58,32.4,38.5,21.0,23.9,Sandy,Maize,Growth,Summer,134817.2
6.98,36.9,80.7,26.1,18.6,Loamy,Wheat,Growth,Monsoon,159342.8
9.77,31.6,52.5,3.8,22.1,Silty,Sugarcane,Growth,Summer,322776.1
3.03,37.9,84.1,23.6,24.5,Clay,Maize,Flowering,Monsoon,69792.5
8.3,32.2,53.7,16.6,12.0,Silty,Rice,Flowering,Summer,264795.0
3.84,18.6,89.9,1.6,3.5,Silty,Wheat,Flowering,Monsoon,82865.9
0.86,27.3,42.8,25.2,9.4,Sandy,Sugarcane,Growth,Monsoon,16052.6
2.92,24.4,72.1,24.2,28.2,Loamy,Maize,Harvest,Monsoon,56215.5
1.16,22.9,83.4,14.7,19.9,Sandy,Maize,Flowering,Monsoon,18325.3
6.84,21.6,57.2,10.8,28.2,Loamy,Cotton,Flowering,Winter,186176.7
4.36,38.7,46.6,10.2,23.6,Silty,Sugarcane,Harvest,Summer,121585.4
4.7,26.1,48.1,17.6,19.8,Silty,Cotton,Flowering,Summer,117538.4
1.39,33.0,45.0,0.0,6.0,Sandy,Rice,Growth,Summer,55806.8
9.85,31.1,60.3,10.3,5.8,Clay,Sugarcane,Harvest,Monsoon,244298.2
2.82,33.6,52.9,4.4,25.8,Sandy,Sugarcane,Growth,Monsoon,120724.9
2.17,28.4,64.5,20.1,13.7,Clay,Cotton,Flowering,Monsoon,42698.2
9.53,34.7,31.8,0.0,15.1,Clay,Wheat,Harvest,Winter,192291.6
4.78,37.2,39.8,6.6,7.2,Clay,Rice,Flowering,Summer,145362.3
2.73,19.3,42.1,14.0,4.2,Loamy,Sugarcane,Growth,Winter,81098.9
7.21,31.1,56.9,2.2,25.0,Clay,Cotton,Seedling,Summer,156806.9
8.64,30.4,63.8,20.6,10.6,Clay,Sugarcane,Growth,Monsoon,247648.9
5.14,23.9,51.4,0.0,12.1,Loamy,Sugarcane,Growth,Winter,177058.5
9.82,36.5,79.8,21.4,16.9,Sandy,Rice,Harvest,Monsoon,284777.7
1.79,26.6,60.6,0.9,10.1,Clay,Maize,Harvest,Winter,36330.9
